@relation TWS-2D-v3.3.4-RGB

@attribute original numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {'class 1','class 2'}

@data
216.333328,216,27,225,158,107,3.333333,0,62.333332,0,0,255,255,216.333328,154.333328,97.666664,3.666667,0,57,0,0,255,255,215.666672,118.666664,61,11.666667,0,42.666668,0,0,255,255,1,216,72.666664,38.666668,3.666667,2.333333,24.666666,0.333333,0,255,200.333328,0.666667,0.333333,213.666672,53.333332,77.333336,0,0,11.666667,0,0,255,255,2.666667,2,2.333333,202.333328,39.333332,23.333334,0,14.666667,3.333333,0,0.666667,255,172.666672,14,13.333333,13.666667,11.333333,207.666672,219,196,255,7,209,'class 1'
216.333328,216,27,225,158,107,3.333333,0,62.333332,0,0,255,255,216.333328,154.333328,97.666664,3.666667,0,57,0,0,255,255,215.666672,118.666664,61,11.666667,0,42.666668,0,0,255,255,1,216,72.666664,38.666668,3.666667,2.333333,24.666666,0.333333,0,255,200.333328,0.666667,0.333333,213.666672,53.333332,77.333336,0,0,11.666667,0,0,255,255,2.666667,2,2.333333,202.333328,39.333332,23.333334,0,14.666667,3.333333,0,0.666667,255,172.666672,14,13.333333,13.666667,11.333333,207.666672,219,196,255,7,209,'class 1'
216.333328,216,27,225,158,107,3.333333,0,62.333332,0,0,255,255,216.333328,154.333328,97.666664,3.666667,0,57,0,0,255,255,215.666672,118.666664,61,11.666667,0,42.666668,0,0,255,255,1,216,72.666664,38.666668,3.666667,2.333333,24.666666,0.333333,0,255,200.333328,0.666667,0.333333,213.666672,53.333332,77.333336,0,0,11.666667,0,0,255,255,2.666667,2,2.333333,202.333328,39.333332,23.333334,0,14.666667,3.333333,0,0.666667,255,172.666672,14,13.333333,13.666667,11.333333,207.666672,219,196,255,7,209,'class 1'
216.333328,216,27,225,158,107,3.333333,0,62.333332,0,0,255,255,216.333328,154.333328,97.666664,3.666667,0,57,0,0,255,255,215.666672,118.666664,61,11.666667,0,42.666668,0,0,255,255,1,216,72.666664,38.666668,3.666667,2.333333,24.666666,0.333333,0,255,200.333328,0.666667,0.333333,213.666672,53.333332,77.333336,0,0,11.666667,0,0,255,255,2.666667,2,2.333333,202.333328,39.333332,23.333334,0,14.666667,3.333333,0,0.666667,255,172.666672,14,13.333333,13.666667,11.333333,207.666672,219,196,255,7,209,'class 1'
216.333328,216,27,225,158,107,3.333333,0,62.333332,0,0,255,255,216.333328,154.333328,97.666664,3.666667,0,57,0,0,255,255,215.666672,118.666664,61,11.666667,0,42.666668,0,0,255,255,1,216,72.666664,38.666668,3.666667,2.333333,24.666666,0.333333,0,255,200.333328,0.666667,0.333333,213.666672,53.333332,77.333336,0,0,11.666667,0,0,255,255,2.666667,2,2.333333,202.333328,39.333332,23.333334,0,14.666667,3.333333,0,0.666667,255,172.666672,14,13.333333,13.666667,11.333333,207.666672,219,196,255,7,209,'class 1'
225,233,17,233,145,202,0,255,0,0,0.666667,255,255,224.333328,141,199.333328,0,255,0,0,1,255,255,220.666672,113,161.666672,0,255,0,0,0.333333,255,255,3.666667,217.333328,72.666664,68.666664,1.666667,0,31,0,0,255,255,7,2.666667,215.333328,50.333332,74,0,0,16.666666,0,0,255,255,9.333333,5,2.333333,204.666672,38.666668,24.333334,0,13,4,0,0,255,177.666672,19.333334,15.666667,12.666667,10.666667,210.333328,223.333328,199.666672,255,7.333333,211.666672,'class 1'
225,233,17,233,145,202,0,255,0,0,0.666667,255,255,224.333328,141,199.333328,0,255,0,0,1,255,255,220.666672,113,161.666672,0,255,0,0,0.333333,255,255,3.666667,217.333328,72.666664,68.666664,1.666667,0,31,0,0,255,255,7,2.666667,215.333328,50.333332,74,0,0,16.666666,0,0,255,255,9.333333,5,2.333333,204.666672,38.666668,24.333334,0,13,4,0,0,255,177.666672,19.333334,15.666667,12.666667,10.666667,210.333328,223.333328,199.666672,255,7.333333,211.666672,'class 1'
225,233,17,233,145,202,0,255,0,0,0.666667,255,255,224.333328,141,199.333328,0,255,0,0,1,255,255,220.666672,113,161.666672,0,255,0,0,0.333333,255,255,3.666667,217.333328,72.666664,68.666664,1.666667,0,31,0,0,255,255,7,2.666667,215.333328,50.333332,74,0,0,16.666666,0,0,255,255,9.333333,5,2.333333,204.666672,38.666668,24.333334,0,13,4,0,0,255,177.666672,19.333334,15.666667,12.666667,10.666667,210.333328,223.333328,199.666672,255,7.333333,211.666672,'class 1'
225,233,17,233,145,202,0,255,0,0,0.666667,255,255,224.333328,141,199.333328,0,255,0,0,1,255,255,220.666672,113,161.666672,0,255,0,0,0.333333,255,255,3.666667,217.333328,72.666664,68.666664,1.666667,0,31,0,0,255,255,7,2.666667,215.333328,50.333332,74,0,0,16.666666,0,0,255,255,9.333333,5,2.333333,204.666672,38.666668,24.333334,0,13,4,0,0,255,177.666672,19.333334,15.666667,12.666667,10.666667,210.333328,223.333328,199.666672,255,7.333333,211.666672,'class 1'
229,248,13,237,141.333328,219,0,0,96.333336,0,0,255,255,228,136,215.666672,0,0,91.333336,0,0,255,255,223.333328,108,198,0,0,64.333336,0,0,255,255,4.666667,220,71.333336,107.666664,0.666667,0,43.666668,0,0,255,255,8,3.666667,216.666672,47.666668,71.333336,0,0,19,0,0,255,255,11,6.333333,2.666667,207,37.333332,25.333334,0,9,5,0,0,255,191,21,16.666666,13,9.666667,212.333328,227.333328,202,255,7.666667,213,'class 1'
