@relation TWS-2D-v3.3.4-RGB

@attribute original numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {'class 1','class 2'}

@data
164,31,44,177,62.333332,255,0,0,38,0,1,255,255,163,58.333332,255,0,0,21,0,1,255,255,155,47.333332,255,0,255,0,0,1,255,255,7.666667,144.333328,94.333336,166,0,170,1.666667,0,0,255,255,18.333334,10.333333,139,75.333336,86,0,0,36.666668,0,0,255,255,24,16,5.666667,133.666672,22.333334,23.666666,0,0,6.666667,0,0,255,255,29.333334,21.666666,11,5.666667,140.666672,157.666672,122,255,11.333333,137,'class 1'
147,30,55,162,125.666664,255,28,0,195.333328,0,0,255,255,146,114.333336,233.333328,32.666668,0,178,0,0,255,255,141.333328,67,135,71,0,130.333328,0,0,255,255,4.666667,141.666672,89,198.666672,45.666668,0,159,0,0,255,255,4.333333,0,141,73.333336,80,0,0,33.666668,0,0,255,255,5.333333,1.333333,1.333333,133.666672,23,25.333334,0,5.666667,3.333333,0,0,255,255,12,7,7.666667,7,139.666672,158,124,255,11.333333,140,'class 1'
223,28,45,242,255,255,0,255,0,0,1.333333,255,255,221.333328,255,255,0,255,0,0,1.333333,255,255,209.666672,252,255,0,255,0,0,0,255,255,11.666667,190.333328,122,255,0,255,0,0,0,255,255,31,19,166.666672,52.333332,150.666672,0,255,0,0,0.666667,255,255,54.666668,43,24,142,20,39,0,241,0,0,0,255,222.333328,79,67.333336,48.333332,24.666666,165,184,138.666672,255,14.333333,167.666672,'class 1'
241,41,41,255,221.666672,255,0,0,255,0,0.666667,255,255,238.333328,213,255,0,0,255,0,0.666667,255,255,223.333328,160,255,0,0,255,0,1,255,255,15,202.333328,72.666664,255,0,0,114,0,1,255,255,36,21.333334,178,14.333333,160.666672,0,255,0,0,1,255,255,60.333332,45.666668,24,147,12.333333,48.666668,0,255,0,0,0.666667,255,44.666668,91.333336,76.666664,55.333332,31,173.333328,190,152,255,13.333333,176.333328,'class 1'
211.333328,34,50,229,255,255,0,0,255,0,0,255,255,208.333328,255,255,0,0,255,0,0,255,255,193,255,255,0,0,255,0,0,255,255,14.666667,186.333328,148.333328,255,0,0,255,0,0,255,255,21.666666,7,176.666672,19.333334,131.666672,0,255,0,0,0,255,255,31.333334,16.333334,10,147.666672,11.666667,49.666668,0,255,0,0,0.666667,255,90.666664,60.333332,45.666668,39,29,168.333328,186.666672,150,255,11.666667,170.666672,'class 1'
202.333328,36,64,224,198,255,0,255,0,0,0.333333,255,255,202.333328,197,255,0,255,0,0,0.666667,255,255,203.333328,189,255,0,255,0,0,1.333333,255,184.666672,0,192.333328,122,255,0,255,0,0,0,255,255,10.666667,11,167,58.333332,166,0,255,0,0,0,255,255,36,36.666668,25.333334,142,19.333334,35.333332,0,210.666672,0,0,0.666667,255,248,60.666668,61.333332,50,24.666666,159,180.666672,143,255,13.666667,158.666672,'class 1'
138.666672,38,65,153,255,255,255,255,255,255,1,255,255,140.666672,252.666672,255,255,255,255,252.333328,1,255,255,151.333328,224.666672,255,255,255,255,78,1,255,255,0,161,150.666672,103,31.666666,0,81.333336,0,1,255,255,0,0,154,69.666664,103.333336,0,255,0,0,0.333333,255,255,0,0.333333,7,138.666672,21,27.666666,0,137,0,0,1,255,255,5.333333,12.666667,22,15.333333,144.333328,176.666672,123.666664,255,16.333334,141,'class 1'
131,36,52,142,44.666668,255,0,0,191.333328,0,0,255,255,131,46.666668,255,0,0,186.333328,0,0,255,255,130,64,255,0,0,163,0,0,255,255,0.333333,128,86,155.666672,32,0,160.333328,0,1,255,255,3,2,131.333328,67,76.333336,32.333332,0,84.666664,0,1,255,255,0.333333,0,0,132,20.666666,19,1,0,10.333333,0,1,255,255,1.333333,0.666667,0,0.666667,132,160.333328,111.333336,255,16,134,'class 1'
126.333336,29,37,135,55,255,0,255,0,0,0,255,255,126.333336,53.666668,255,0,255,0,0,0,255,255,123.666664,47,255,0,170,0.333333,0,0,255,255,2,119.333336,38.666668,123.666664,0,0,94,0,0.333333,255,255,7,4.666667,122.333336,36,96.666664,75,0,116.333336,0,1,255,255,3.666667,1.333333,0,128.666672,16,19.666666,3,0,18,0,1,255,255,0,0,0,0,126.666664,151.666672,105.333336,255,17.666666,124,'class 1'
137.333328,177,10,141,37,255,0,0,48,0,0,255,255,136.333328,35,255,0,0,48,0,0,255,255,131.333328,28.666666,255,0,0,27.333334,0,0,255,255,5,126.333336,25.333334,185,0,255,0,0,0,255,255,10,5,118,16,49.666668,0,170,0.333333,0,0,255,255,18.666666,13.666667,8.666667,114.333336,11.666667,12.666667,1,0,9.333333,0,0,255,232.666672,22,17.333334,11.333333,3.333333,117.666664,126.666664,104.333336,255,6.666667,119,'class 1'
